Date_reported,iso_code,Country,WHO_region,Covid_new_hospitalizations_last_7days,Covid_new_icu_admissions_last_7days,Covid_new_hospitalizations_last_28days,Covid_new_icu_admissions_last_28days,YearQuarter
2024-12-29,GTM,GUATEMALA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-29,GUY,GUYANA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-29,HTI,HAITI,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-29,ITA,ITALY,EUR,367.0,27.0,1585.0,86.0,2024Q4
2024-12-29,LVA,LATVIA,EUR,53.0,,189.0,,2024Q4
2024-12-29,LTU,LITHUANIA,EUR,54.0,3.0,206.0,9.0,2024Q4
2024-12-29,MYS,MALAYSIA,WPR,95.0,1.0,423.0,4.0,2024Q4
2024-12-29,MLT,MALTA,EUR,1.0,,12.0,,2024Q4
2024-12-29,MRT,MAURITANIA,AFR,0.0,0.0,0.0,0.0,2024Q4
2024-12-29,MUS,MAURITIUS,AFR,1.0,0.0,7.0,0.0,2024Q4
2024-12-29,MEX,MEXICO,AMR,0.0,0.0,26.0,2.0,2024Q4
2024-12-29,NZL,NEW ZEALAND,WPR,121.0,6.0,438.0,18.0,2024Q4
2024-12-29,MKD,NORTH MACEDONIA,EUR,0.0,,0.0,,2024Q4
2024-12-29,PAN,PANAMA,AMR,2.0,0.0,21.0,1.0,2024Q4
2024-12-29,POL,POLAND,EUR,38.0,1.0,204.0,2.0,2024Q4
2024-12-29,PRT,PORTUGAL,EUR,48.0,6.0,123.0,9.0,2024Q4
2024-12-29,RUS,RUSSIAN FEDERATION,EUR,2603.0,,11137.0,,2024Q4
2024-12-29,SGP,SINGAPORE,WPR,126.0,2.0,540.0,9.0,2024Q4
2024-12-29,SVK,SLOVAKIA,EUR,13.0,1.0,75.0,1.0,2024Q4
2024-12-29,ESP,SPAIN,EUR,6.0,,10.0,,2024Q4
2024-12-29,SUR,SURINAME,AMR,0.0,,1.0,,2024Q4
2024-12-29,SWE,SWEDEN,EUR,,4.0,,22.0,2024Q4
2024-12-29,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,,0.0,,2024Q4
2024-12-29,UKR,UKRAINE,EUR,0.0,0.0,2.0,0.0,2024Q4
2024-12-29,USA,UNITED STATES OF AMERICA,AMR,1209.0,,3696.0,,2024Q4
2024-12-29,URY,URUGUAY,AMR,14.0,1.0,121.0,7.0,2024Q4
2024-12-22,ARG,ARGENTINA,AMR,39.0,,242.0,,2024Q4
2024-12-22,BIH,BOSNIA AND HERZEGOVINA,EUR,0.0,0.0,6.0,0.0,2024Q4
2024-12-22,BRA,BRAZIL,AMR,676.0,184.0,2558.0,783.0,2024Q4
2024-12-22,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-22,BRN,BRUNEI DARUSSALAM,WPR,13.0,1.0,29.0,1.0,2024Q4
2024-12-22,CHL,CHILE,AMR,46.0,7.0,187.0,15.0,2024Q4
2024-12-22,CRI,COSTA RICA,AMR,0.0,0.0,4.0,1.0,2024Q4
2024-12-22,CZE,CZECHIA,EUR,46.0,3.0,267.0,20.0,2024Q4
2024-12-22,DNK,DENMARK,EUR,151.0,,534.0,,2024Q4
2024-12-22,DMA,DOMINICA,AMR,0.0,,0.0,,2024Q4
2024-12-22,ECU,ECUADOR,AMR,18.0,1.0,59.0,3.0,2024Q4
2024-12-22,EST,ESTONIA,EUR,77.0,6.0,346.0,38.0,2024Q4
2024-12-22,FRA,FRANCE,EUR,17.0,16.0,57.0,59.0,2024Q4
2024-12-22,GRC,GREECE,EUR,532.0,8.0,2255.0,36.0,2024Q4
2024-12-22,GTM,GUATEMALA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-22,GUY,GUYANA,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-22,HTI,HAITI,AMR,0.0,0.0,0.0,0.0,2024Q4
2024-12-22,HND,HONDURAS,AMR,0.0,0.0,1.0,0.0,2024Q4
2024-12-22,HUN,HUNGARY,EUR,16.0,2.0,83.0,11.0,2024Q4
2024-12-22,ITA,ITALY,EUR,386.0,15.0,1631.0,83.0,2024Q4
2024-12-22,LVA,LATVIA,EUR,56.0,,173.0,,2024Q4
2024-12-22,LTU,LITHUANIA,EUR,49.0,5.0,182.0,7.0,2024Q4
2024-12-22,MYS,MALAYSIA,WPR,117.0,1.0,436.0,4.0,2024Q4
2024-12-22,MLT,MALTA,EUR,2.0,,14.0,1.0,2024Q4
2024-12-22,MRT,MAURITANIA,AFR,0.0,0.0,0.0,0.0,2024Q4
2024-12-22,MUS,MAURITIUS,AFR,2.0,0.0,7.0,0.0,2024Q4
2024-12-22,MEX,MEXICO,AMR,3.0,0.0,34.0,3.0,2024Q4
2024-12-22,NZL,NEW ZEALAND,WPR,109.0,4.0,420.0,14.0,2024Q4
2024-12-22,MKD,NORTH MACEDONIA,EUR,0.0,,0.0,,2024Q4
2024-12-22,PAN,PANAMA,AMR,5.0,1.0,22.0,1.0,2024Q4
2024-12-22,POL,POLAND,EUR,54.0,,191.0,1.0,2024Q4
2024-12-22,PRT,PORTUGAL,EUR,30.0,1.0,98.0,3.0,2024Q4
2024-12-22,RUS,RUSSIAN FEDERATION,EUR,2926.0,,11096.0,,2024Q4
2024-12-22,SGP,SINGAPORE,WPR,119.0,1.0,549.0,9.0,2024Q4
2024-12-22,SVK,SLOVAKIA,EUR,26.0,,93.0,1.0,2024Q4
2024-12-22,SUR,SURINAME,AMR,1.0,,1.0,,2024Q4
2024-12-22,SWE,SWEDEN,EUR,,7.0,,25.0,2024Q4
2024-12-22,TCA,TURKS AND CAICOS ISLANDS,AMR,0.0,,0.0,,2024Q4
2024-12-22,UKR,UKRAINE,EUR,0.0,0.0,4.0,0.0,2024Q4
2024-12-22,USA,UNITED STATES OF AMERICA,AMR,934.0,,3104.0,,2024Q4
2024-12-22,URY,URUGUAY,AMR,36.0,2.0,144.0,12.0,2024Q4
2024-12-15,ARG,ARGENTINA,AMR,62.0,,293.0,,2024Q4
2024-12-15,BIH,BOSNIA AND HERZEGOVINA,EUR,0.0,0.0,9.0,0.0,2024Q4
2024-12-15,BRA,BRAZIL,AMR,655.0,203.0,2451.0,803.0,2024Q4
2024-12-15,VGB,BRITISH VIRGIN ISLANDS,AMR,0.0,0.0,0.0,0.0,2024Q4
